series,date,value
SQL,2025-03-04,2073.0
SQL,2025-03-05,2160.0
SQL,2025-03-06,2065.0
SQL,2025-03-07,1859.0
SQL,2025-03-08,1249.0
SQL,2025-03-09,1176.0
SQL,2025-03-10,1929.0
SQL,2025-03-11,2089.0
SQL,2025-03-12,2163.0
SQL,2025-03-13,2019.0
SQL,2025-03-14,1757.0
SQL,2025-03-15,1116.0
SQL,2025-03-16,1351.0
SQL,2025-03-17,2092.0
SQL,2025-03-18,2154.0
SQL,2025-03-19,2120.0
SQL,2025-03-20,2041.0
SQL,2025-03-21,1889.0
SQL,2025-03-22,1210.0
SQL,2025-03-23,1164.0
SQL,2025-03-24,2053.0
SQL,2025-03-25,2105.0
SQL,2025-03-26,2119.0
SQL,2025-03-27,2041.0
SQL,2025-03-28,1683.0
SQL,2025-03-29,1145.0
SQL,2025-03-30,1084.0
SQL,2025-03-31,1658.0
SQL,2025-04-01,1840.0
SQL,2025-04-02,1953.0
SQL,2025-04-03,1847.0
SQL,2025-04-04,1666.0
SQL,2025-04-05,1084.0
SQL,2025-04-06,1051.0
SQL,2025-04-07,1893.0
SQL,2025-04-08,1993.0
SQL,2025-04-09,1885.0
SQL,2025-04-10,1913.0
SQL,2025-04-11,1582.0
SQL,2025-04-12,1067.0
SQL,2025-04-13,1012.0
SQL,2025-04-14,1669.0
SQL,2025-04-15,1872.0
SQL,2025-04-16,1863.0
SQL,2025-04-17,1766.0
SQL,2025-04-18,1279.0
SQL,2025-04-19,913.0
SQL,2025-04-20,899.0
SQL,2025-04-21,1472.0
SQL,2025-04-22,1921.0
SQL,2025-04-23,1948.0
SQL,2025-04-24,1878.0
SQL,2025-04-25,1583.0
SQL,2025-04-26,1072.0
SQL,2025-04-27,1022.0
SQL,2025-04-28,1746.0
SQL,2025-04-29,1859.0
SQL,2025-04-30,1831.0
SQL,2025-05-01,1392.0
SQL,2025-05-02,1405.0
SQL,2025-05-03,944.0
SQL,2025-05-04,1010.0
SQL,2025-05-05,1543.0
SQL,2025-05-06,1750.0
SQL,2025-05-07,1718.0
SQL,2025-05-08,1701.0
SQL,2025-05-09,1378.0
SQL,2025-05-10,937.0
SQL,2025-05-11,1036.0
SQL,2025-05-12,1551.0
SQL,2025-05-13,1673.0
SQL,2025-05-14,1750.0
SQL,2025-05-15,1507.0
SQL,2025-05-16,1434.0
SQL,2025-05-17,952.0
SQL,2025-05-18,947.0
SQL,2025-05-19,1592.0
SQL,2025-05-20,1711.0
SQL,2025-05-21,1687.0
SQL,2025-05-22,1681.0
SQL,2025-05-23,1510.0
SQL,2025-05-24,925.0
SQL,2025-05-25,971.0
SQL,2025-05-26,1416.0
SQL,2025-05-27,1627.0
SQL,2025-05-28,1647.0
SQL,2025-05-29,1582.0
SQL,2025-05-30,1349.0
SQL,2025-05-31,948.0
SQL,2025-06-01,975.0
SQL,2025-06-02,1494.0
SQL,2025-06-03,1722.0
SQL,2025-06-04,1617.0
SQL,2025-06-05,1506.0
SQL,2025-06-06,1277.0
SQL,2025-06-07,825.0
SQL,2025-06-08,872.0
SQL,2025-06-09,1405.0
SQL,2025-06-10,1460.0
SQL,2025-06-11,1517.0
SQL,2025-06-12,1487.0
SQL,2025-06-13,1290.0
SQL,2025-06-14,952.0
SQL,2025-06-15,850.0
SQL,2025-06-16,1500.0
SQL,2025-06-17,1518.0
SQL,2025-06-18,1483.0
SQL,2025-06-19,1378.0
SQL,2025-06-20,1262.0
SQL,2025-06-21,921.0
SQL,2025-06-22,892.0
SQL,2025-06-23,1400.0
SQL,2025-06-24,1419.0
SQL,2025-06-25,1507.0
SQL,2025-06-26,1653.0
SQL,2025-06-27,1230.0
SQL,2025-06-28,819.0
SQL,2025-06-29,786.0
SQL,2025-06-30,1370.0
Statistics,2025-01-01,903.0
Statistics,2025-01-02,1166.0
Statistics,2025-01-03,1221.0
Statistics,2025-01-04,1114.0
Statistics,2025-01-05,1147.0
Statistics,2025-01-06,1721.0
Statistics,2025-01-07,1637.0
Statistics,2025-01-08,1607.0
Statistics,2025-01-09,1583.0
Statistics,2025-01-10,1376.0
Statistics,2025-01-11,992.0
Statistics,2025-01-12,1055.0
Statistics,2025-01-13,1445.0
Statistics,2025-01-14,1500.0
Statistics,2025-01-15,1416.0
Statistics,2025-01-16,1463.0
Statistics,2025-01-17,1232.0
Statistics,2025-01-18,1004.0
Statistics,2025-01-19,1084.0
Statistics,2025-01-20,1381.0
Statistics,2025-01-21,1605.0
Statistics,2025-01-22,1504.0
Statistics,2025-01-23,1544.0
Statistics,2025-01-24,1318.0
Statistics,2025-01-25,1114.0
Statistics,2025-01-26,1105.0
Statistics,2025-01-27,1393.0
Statistics,2025-01-28,1439.0
Statistics,2025-01-29,1312.0
Statistics,2025-01-30,1334.0
Statistics,2025-01-31,1284.0
Statistics,2025-02-01,963.0
Statistics,2025-02-02,1075.0
Statistics,2025-02-03,1405.0
Statistics,2025-02-04,1456.0
Statistics,2025-02-05,1419.0
Statistics,2025-02-06,1268.0
Statistics,2025-02-07,1189.0
Statistics,2025-02-08,914.0
Statistics,2025-02-09,924.0
Statistics,2025-02-10,1211.0
Statistics,2025-02-11,1209.0
Statistics,2025-02-12,1341.0
Statistics,2025-02-13,1234.0
Statistics,2025-02-14,1063.0
Statistics,2025-02-15,936.0
Statistics,2025-02-16,1040.0
Statistics,2025-02-17,1092.0
Statistics,2025-02-18,1273.0
Statistics,2025-02-19,1328.0
Statistics,2025-02-20,1215.0
Statistics,2025-02-21,1136.0
Statistics,2025-02-22,901.0
Statistics,2025-02-23,1019.0
Statistics,2025-02-24,1285.0
Statistics,2025-02-25,1116.0
Statistics,2025-02-26,1290.0
Statistics,2025-02-27,1244.0
Statistics,2025-02-28,1040.0
Statistics,2025-03-01,844.0
Statistics,2025-03-02,860.0
Statistics,2025-03-03,1211.0
Statistics,2025-03-04,1306.0
Statistics,2025-03-05,1232.0
Statistics,2025-03-06,1225.0
Statistics,2025-03-07,1198.0
Statistics,2025-03-08,935.0
Statistics,2025-03-09,956.0
Statistics,2025-03-10,1225.0
Statistics,2025-03-11,1166.0
Statistics,2025-03-12,1249.0
Statistics,2025-03-13,1222.0
Statistics,2025-03-14,1080.0
Statistics,2025-03-15,892.0
Statistics,2025-03-16,944.0
Statistics,2025-03-17,1117.0
Statistics,2025-03-18,1293.0
Statistics,2025-03-19,1251.0
Statistics,2025-03-20,1128.0
Statistics,2025-03-21,1070.0
Statistics,2025-03-22,887.0
Statistics,2025-03-23,935.0
Statistics,2025-03-24,1101.0
Statistics,2025-03-25,1120.0
Statistics,2025-03-26,1170.0
Statistics,2025-03-27,1124.0
Statistics,2025-03-28,1051.0
Statistics,2025-03-29,764.0
Statistics,2025-03-30,836.0
Statistics,2025-03-31,982.0
Statistics,2025-04-01,1043.0
Statistics,2025-04-02,1194.0
Statistics,2025-04-03,1106.0
Statistics,2025-04-04,945.0
Statistics,2025-04-05,871.0
Statistics,2025-04-06,852.0
Statistics,2025-04-07,1141.0
Statistics,2025-04-08,1170.0
Statistics,2025-04-09,1085.0
Statistics,2025-04-10,1040.0
Statistics,2025-04-11,1042.0
Statistics,2025-04-12,788.0
Statistics,2025-04-13,840.0
Statistics,2025-04-14,1126.0
Statistics,2025-04-15,1221.0
Statistics,2025-04-16,1155.0
Statistics,2025-04-17,1063.0
Statistics,2025-04-18,870.0
Statistics,2025-04-19,791.0
Statistics,2025-04-20,887.0
Statistics,2025-04-21,1024.0
Statistics,2025-04-22,1093.0
Statistics,2025-04-23,1150.0
Statistics,2025-04-24,1173.0
Statistics,2025-04-25,1011.0
Statistics,2025-04-26,857.0
Statistics,2025-04-27,909.0
Statistics,2025-04-28,1116.0
Statistics,2025-04-29,1150.0
Statistics,2025-04-30,1201.0
Statistics,2025-05-01,1090.0
Statistics,2025-05-02,1101.0
Statistics,2025-05-03,928.0
Statistics,2025-05-04,918.0
Statistics,2025-05-05,1224.0
Statistics,2025-05-06,1195.0
Statistics,2025-05-07,1141.0
Statistics,2025-05-08,1149.0
Statistics,2025-05-09,973.0
Statistics,2025-05-10,858.0
Statistics,2025-05-11,757.0
Statistics,2025-05-12,1108.0
Statistics,2025-05-13,1184.0
Statistics,2025-05-14,1176.0
Statistics,2025-05-15,1099.0
Statistics,2025-05-16,1103.0
Statistics,2025-05-17,898.0
Statistics,2025-05-18,924.0
Statistics,2025-05-19,1144.0
Statistics,2025-05-20,1002.0
Statistics,2025-05-21,1033.0
Statistics,2025-05-22,1015.0
Statistics,2025-05-23,945.0
Statistics,2025-05-24,802.0
Statistics,2025-05-25,824.0
Statistics,2025-05-26,965.0
Statistics,2025-05-27,1066.0
Statistics,2025-05-28,971.0
Statistics,2025-05-29,997.0
Statistics,2025-05-30,973.0
Statistics,2025-05-31,719.0
Statistics,2025-06-01,788.0
Statistics,2025-06-02,987.0
Statistics,2025-06-03,1017.0
Statistics,2025-06-04,1043.0
Statistics,2025-06-05,991.0
Statistics,2025-06-06,859.0
Statistics,2025-06-07,711.0
Statistics,2025-06-08,849.0
Statistics,2025-06-09,970.0
Statistics,2025-06-10,977.0
Statistics,2025-06-11,918.0
Statistics,2025-06-12,869.0
Statistics,2025-06-13,900.0
Statistics,2025-06-14,825.0
Statistics,2025-06-15,771.0
Statistics,2025-06-16,1142.0
Statistics,2025-06-17,1105.0
Statistics,2025-06-18,1053.0
Statistics,2025-06-19,1032.0
Statistics,2025-06-20,958.0
Statistics,2025-06-21,791.0
Statistics,2025-06-22,810.0
Statistics,2025-06-23,1044.0
Statistics,2025-06-24,984.0
Statistics,2025-06-25,1013.0
Statistics,2025-06-26,939.0
Statistics,2025-06-27,856.0
Statistics,2025-06-28,798.0
Statistics,2025-06-29,776.0
Statistics,2025-06-30,883.0
